punkt gps, data, szerokość geograficzna, długość geograficzna, wysokość, szybkość, dystans od startu, czas od startu, tętno 
1,2017-12-23 07:12:54.809,51.175356,22.296258,241.0,0.0,0.0,0,0
2,2017-12-23 07:13:07.238,51.175065,22.2962,234.0,6.991552829742432,0.032782537354671265,12,0
3,2017-12-23 07:13:13.238,51.175361,22.296033,238.0,27.70613670349121,0.06784833994946543,18,0
4,2017-12-23 07:13:19.219,51.175967,22.295726,239.0,43.3675537109375,0.1389270443055311,24,0
5,2017-12-23 07:13:25.218,51.17674,22.295361,253.0,48.83930206298828,0.22894357139833316,30,0
6,2017-12-23 07:13:31.214,51.177419,22.295004,246.0,46.012393951416016,0.30873898059696536,36,0
7,2017-12-23 07:13:37.216,51.177585,22.2949,244.0,19.029678344726562,0.32872060303939143,42,0
8,2017-12-23 07:13:43.213,51.177843,22.294699,239.0,11.031392097473145,0.36077244475483433,48,0
9,2017-12-23 07:13:49.249,51.177697,22.293845,235.0,38.6872673034668,0.4227144098520453,54,0
10,2017-12-23 07:13:55.219,51.177406,22.292598,236.0,53.708099365234375,0.5158943772539889,60,0
11,2017-12-23 07:14:01.174,51.177091,22.291325,238.0,55.78289031982422,0.6117548755343352,66,0
12,2017-12-23 07:14:07.22,51.176762,22.290045,237.0,59.308799743652344,0.7086652247662009,72,0
13,2017-12-23 07:14:13.216,51.176429,22.288846,240.0,53.168697357177734,0.8004431677322126,78,0
14,2017-12-23 07:14:19.218,51.176084,22.28765,237.0,54.691123962402344,0.8926343544433921,84,0
15,2017-12-23 07:14:25.216,51.175793,22.286493,242.0,54.41795349121094,0.9799282316022936,90,0
16,2017-12-23 07:14:31.217,51.175512,22.285264,244.0,52.73276901245117,1.0715323751030443,96,0
17,2017-12-23 07:14:37.22,51.175192,22.284032,239.0,54.08761978149414,1.1649321404597859,102,0
18,2017-12-23 07:14:43.217,51.174895,22.282967,240.0,49.127288818359375,1.2465724699858518,108,0
19,2017-12-23 07:14:49.218,51.174791,22.282609,240.0,35.6044921875,1.274185440033622,114,0
20,2017-12-23 07:14:55.221,51.174615,22.281789,241.0,10.547062873840332,1.3348975814798827,120,0
21,2017-12-23 07:15:01.216,51.174725,22.281673,245.0,30.38796615600586,1.3496426448279124,126,0
22,2017-12-23 07:15:07.216,51.175308,22.281051,241.0,26.611360549926758,1.4279421602349942,132,0
23,2017-12-23 07:15:13.242,51.175341,22.280516,240.0,22.510713577270508,1.4656110704866787,138,0
24,2017-12-23 07:15:19.229,51.175451,22.280346,242.0,39.2142219543457,1.4827465737212109,144,0
25,2017-12-23 07:15:25.233,51.176333,22.2793,245.0,48.282840728759766,1.6054504234249707,150,0
26,2017-12-23 07:15:31.194,51.177058,22.278744,245.0,53.37175750732422,1.6953269156910642,156,0
27,2017-12-23 07:15:37.196,51.177643,22.277944,247.0,52.60661697387695,1.7814586655256652,162,0
28,2017-12-23 07:15:43.205,51.178248,22.277002,253.0,55.59476852416992,1.8758424439629746,168,0
29,2017-12-23 07:15:49.199,51.17887,22.276051,249.0,59.19671630859375,1.972105866795581,174,0
30,2017-12-23 07:15:55.214,51.179462,22.275186,248.0,50.76742935180664,2.061753620725295,180,0
31,2017-12-23 07:16:01.212,51.180214,22.274884,245.0,54.54623031616211,2.148384104783531,186,0
32,2017-12-23 07:16:07.222,51.18102,22.274811,243.0,51.92650604248047,2.238617911402186,192,0
33,2017-12-23 07:16:13.227,51.18146,22.27501,244.0,26.61422348022461,2.2896352225862797,198,0
34,2017-12-23 07:16:19.227,51.181865,22.274885,242.0,30.851490020751953,2.33576990876867,204,0
35,2017-12-23 07:16:25.229,51.182075,22.274798,240.0,51.759193420410156,2.36000835622897,210,0
36,2017-12-23 07:16:31.228,51.18358,22.274653,243.0,66.60823822021484,2.5283430812256795,216,0
37,2017-12-23 07:16:37.222,51.184663,22.274631,240.0,71.26629638671875,2.649313986947642,222,0
38,2017-12-23 07:16:43.235,51.185766,22.27459,241.0,73.40850830078125,2.77259473131621,228,0
39,2017-12-23 07:16:49.268,51.186886,22.274529,243.0,74.31475830078125,2.89779377532824,234,0
40,2017-12-23 07:16:55.221,51.188023,22.274398,252.0,72.52222442626953,3.0250797726944567,240,0
41,2017-12-23 07:17:01.222,51.189051,22.274289,253.0,64.56951904296875,3.140236728667572,246,0
42,2017-12-23 07:17:07.22,51.189794,22.273915,250.0,49.07194137573242,3.2272122878857754,252,0
43,2017-12-23 07:17:13.222,51.189996,22.273648,251.0,61.896854400634766,3.2565309834495864,258,0
44,2017-12-23 07:17:19.23,51.191194,22.271735,250.0,70.50228118896484,3.4458272488268427,264,0
45,2017-12-23 07:17:25.227,51.191465,22.271325,248.0,76.0394515991211,3.4875759950622256,270,0
46,2017-12-23 07:17:31.227,51.192899,22.269153,255.0,79.5832290649414,3.708440197526694,276,0
47,2017-12-23 07:17:37.234,51.193768,22.267817,256.0,80.77623748779297,3.84325671583789,282,0
48,2017-12-23 07:17:43.226,51.194773,22.266561,257.0,84.15869903564453,3.9857834568941968,288,0
49,2017-12-23 07:17:49.243,51.195841,22.265419,261.0,83.47957611083984,4.1293929869702835,294,0
50,2017-12-23 07:17:55.227,51.196855,22.264302,263.0,83.75779724121094,4.267034560659587,300,0
51,2017-12-23 07:18:01.226,51.197743,22.263302,264.0,70.65432739257812,4.388456464157313,306,0
52,2017-12-23 07:18:07.229,51.198651,22.262254,266.0,75.96688842773438,4.513612885188735,312,0
53,2017-12-23 07:18:13.231,51.199608,22.261223,269.0,79.07533264160156,4.642616487007916,318,0
54,2017-12-23 07:18:19.244,51.200589,22.260106,260.0,81.1050796508789,4.777225854498799,324,0
55,2017-12-23 07:18:25.227,51.201538,22.259122,264.0,74.41703796386719,4.90358349994854,330,0
56,2017-12-23 07:18:31.229,51.202414,22.258405,257.0,64.55986022949219,5.013551909408856,336,0
57,2017-12-23 07:18:37.219,51.203521,22.258351,251.0,76.71453094482422,5.137323323849954,342,0
58,2017-12-23 07:18:43.211,51.20481,22.258484,252.0,84.86203002929688,5.281643260439732,348,0
59,2017-12-23 07:18:49.21,51.206108,22.258573,251.0,85.94800567626953,5.42675232930744,354,0
60,2017-12-23 07:18:55.232,51.207412,22.258685,250.0,84.94810485839844,5.572565368575158,360,0
61,2017-12-23 07:19:01.204,51.208653,22.25875,257.0,82.2853775024414,5.711289885349132,366,0
62,2017-12-23 07:19:07.205,51.209057,22.258769,256.0,81.42415618896484,5.756372680562827,372,0
63,2017-12-23 07:19:13.232,51.210282,22.25872,254.0,88.97195434570312,5.893326767682286,378,0
64,2017-12-23 07:19:19.205,51.212545,22.258148,251.0,90.92109680175781,6.149188361125146,384,0
65,2017-12-23 07:19:25.176,51.21388,22.257809,248.0,92.854248046875,6.300176333539927,390,0
66,2017-12-23 07:19:31.212,51.215265,22.257418,250.0,94.81309509277344,6.457341666583819,396,0
67,2017-12-23 07:19:37.213,51.216638,22.25707,249.0,92.98869323730469,6.6125913670432706,402,0
68,2017-12-23 07:19:43.214,51.217878,22.256427,242.0,92.4576644897461,6.7582241039993,408,0
69,2017-12-23 07:19:49.21,51.218307,22.256184,245.0,89.52730560302734,6.80908280678895,414,0
70,2017-12-23 07:19:55.214,51.22049,22.255057,240.0,89.2266845703125,7.06532127942382,420,0
71,2017-12-23 07:20:01.211,51.221767,22.254349,247.0,90.82730102539062,7.216335877151774,426,0
72,2017-12-23 07:20:07.212,51.223063,22.253684,250.0,91.69140625,7.368444709254003,432,0
73,2017-12-23 07:20:13.213,51.224441,22.253102,245.0,88.16099548339844,7.527586288639705,438,0
74,2017-12-23 07:20:19.211,51.225737,22.252659,241.0,85.2706298828125,7.675695552746733,444,0
75,2017-12-23 07:20:25.21,51.226966,22.25222,245.0,78.77974700927734,7.816354293404262,450,0
76,2017-12-23 07:20:31.218,51.228239,22.251798,242.0,86.23030090332031,7.961576040055635,456,0
77,2017-12-23 07:20:37.209,51.229481,22.251369,237.0,84.98591613769531,8.103509610556232,462,0
78,2017-12-23 07:20:43.219,51.229877,22.251241,236.0,78.50165557861328,8.14862578322047,468,0
79,2017-12-23 07:20:49.219,51.231837,22.250903,235.0,78.89582061767578,8.36884415462366,474,0
80,2017-12-23 07:20:55.219,51.232195,22.250868,231.0,70.10931396484375,8.408891039586969,480,0
81,2017-12-23 07:21:01.233,51.233833,22.250668,236.0,63.183902740478516,8.59242216851579,486,0
82,2017-12-23 07:21:07.221,51.234737,22.250562,232.0,56.06982421875,8.693674454722625,492,0
83,2017-12-23 07:21:13.223,51.234986,22.250535,231.0,36.145938873291016,8.721522699316436,498,0
84,2017-12-23 07:21:19.22,51.235525,22.250429,233.0,14.609955787658691,8.782171771364037,504,0
85,2017-12-23 07:21:25.219,51.235654,22.250379,230.0,21.931903839111328,8.79700928849041,510,0
86,2017-12-23 07:21:31.219,51.236396,22.250496,232.0,44.69331359863281,8.880274276979616,516,0
87,2017-12-23 07:21:37.221,51.237107,22.251174,232.0,56.48263168334961,8.972866733340329,522,0
88,2017-12-23 07:21:43.221,51.237848,22.252016,233.0,59.403953552246094,9.074424284143632,528,0
89,2017-12-23 07:21:49.223,51.238363,22.252644,240.0,40.595333099365234,9.146829003564271,534,0
90,2017-12-23 07:21:55.222,51.238851,22.25318,237.0,43.82046890258789,9.212915332122389,540,0
91,2017-12-23 07:22:01.22,51.239571,22.253903,232.0,58.050575256347656,9.307970510164473,546,0
92,2017-12-23 07:22:07.229,51.240357,22.254501,235.0,55.478878021240234,9.405230071619068,552,0
93,2017-12-23 07:22:13.226,51.240589,22.254655,235.0,48.0440673828125,9.433203350694555,558,0
94,2017-12-23 07:22:19.225,51.241778,22.255937,229.0,56.124942779541016,9.593504195879257,564,0
95,2017-12-23 07:22:25.227,51.242591,22.256223,230.0,53.530155181884766,9.686405454139873,570,0
96,2017-12-23 07:22:31.228,51.242831,22.25633,230.0,34.831520080566406,9.7143299601187,576,0
97,2017-12-23 07:22:37.239,51.243372,22.25675,220.0,11.791274070739746,9.781453414546988,582,0
98,2017-12-23 07:22:49.227,51.243323,22.257234,215.0,16.983959197998047,9.815766449607638,594,0
99,2017-12-23 07:22:55.244,51.243184,22.258072,221.0,21.211854934692383,9.876401154602625,600,0
100,2017-12-23 07:23:01.229,51.24312,22.258601,227.0,23.296323776245117,9.914044918836563,606,0
101,2017-12-23 07:23:07.228,51.243175,22.259234,222.0,25.44219398498535,9.958722523353753,612,0
102,2017-12-23 07:23:13.23,51.243256,22.259828,220.0,24.97557258605957,10.001202557114809,618,0
103,2017-12-23 07:23:19.226,51.243354,22.260492,216.0,27.783981323242188,10.048956799242905,624,0
104,2017-12-23 07:23:25.239,51.243419,22.261168,215.0,28.705350875854492,10.096733473174902,630,0
105,2017-12-23 07:23:31.228,51.243486,22.261815,210.0,29.299043655395508,10.142642442429104,636,0
106,2017-12-23 07:23:37.235,51.243536,22.262514,214.0,29.245519638061523,10.191842890263459,642,0
107,2017-12-23 07:23:43.235,51.243617,22.263143,214.0,23.97514533996582,10.236692144483579,648,0
108,2017-12-23 07:23:49.21,51.243662,22.26347,214.0,13.356781005859375,10.260165832679352,654,0
109,2017-12-23 07:23:55.21,51.243478,22.263663,225.0,9.41493034362793,10.284758475988664,660,0
